snapshot_pct,snapshot_step,direction,bin,dataset_index,exposure_step,exposure_status,baseline_p0,baseline_p0_completion_length,prompt_token_count,delta_R,delta_T,delta_C
25,934,A-bin/B-base,"(.5,.75]",56,757,exposed,0.6875,1353.0625,93.0,0.1875,0.25,0.0
25,934,B-bin/A-base,"(.5,.75]",56,757,exposed,0.6875,1217.875,93.0,0.1875,0.1875,0.0625
25,934,A-bin/B-base,"(0,.25]",57,764,exposed,0.3125,1567.875,92.0,0.125,0.125,0.0625
25,934,B-bin/A-base,"(.25,.5]",57,764,exposed,0.1875,1696.5,92.0,0.25,0.1875,0.125
25,934,A-bin/B-base,"(.25,.5]",58,1873,unexposed,0.5625,1430.4375,107.0,-0.0625,0.1875,-0.125
25,934,B-bin/A-base,"(.5,.75]",58,1873,unexposed,0.375,1602.875,107.0,0.125,0.25,-0.0625
25,934,A-bin/B-base,"(.25,.5]",59,809,exposed,0.3125,1553.375,121.0,0.125,0.1875,0.125
25,934,B-bin/A-base,"(.25,.5]",59,809,exposed,0.3125,1537.375,121.0,0.125,0.125,0.1875
25,934,A-bin/B-base,"(0,.25]",60,481,exposed,0.125,1797.375,89.0,0.0,0.1875,0.125
25,934,B-bin/A-base,"(0,.25]",60,481,exposed,0.25,1812.75,89.0,-0.125,0.0625,0.0
25,934,A-bin/B-base,"(.25,.5]",61,576,exposed,0.125,1842.875,132.0,0.25,0.25,0.125
25,934,B-bin/A-base,"(0,.25]",61,576,exposed,0.5,1564.125,132.0,-0.125,-0.125,-0.0625
25,934,A-bin/B-base,"(.25,.5]",62,302,exposed,0.4375,1501.375,72.0,0.375,0.375,0.3125
25,934,B-bin/A-base,"(.25,.5]",62,302,exposed,0.375,1399.4375,72.0,0.4375,0.4375,0.4375
25,934,A-bin/B-base,0,63,797,exposed,0.0,2008.375,119.0,0.0,0.1875,0.0
25,934,B-bin/A-base,0,63,797,exposed,0.0,2048.0,119.0,0.0,0.3125,0.0
25,934,A-bin/B-base,"(.25,.5]",64,3703,unexposed,0.5,1495.125,89.0,0.25,0.4375,0.125
25,934,B-bin/A-base,"(.25,.5]",64,3703,unexposed,0.4375,1600.125,89.0,0.3125,0.4375,0.125
25,934,A-bin/B-base,"(.25,.5]",65,1501,unexposed,0.375,1678.0625,78.0,0.5,0.5,0.1875
25,934,B-bin/A-base,"(.25,.5]",65,1501,unexposed,0.4375,1411.6875,78.0,0.4375,0.375,0.3125
25,934,A-bin/B-base,"(0,.25]",66,39,exposed,0.0,1903.375,103.0,0.3125,0.375,0.1875
25,934,B-bin/A-base,0,66,39,exposed,0.125,1926.9375,103.0,0.1875,0.375,0.125
25,934,A-bin/B-base,"(0,.25]",67,1330,unexposed,0.0625,1993.375,113.0,0.0,0.3125,-0.125
25,934,B-bin/A-base,"(0,.25]",67,1330,unexposed,0.1875,1881.1875,113.0,-0.125,0.0625,-0.125
25,934,A-bin/B-base,"(.25,.5]",68,3495,unexposed,0.25,1842.5625,89.0,0.1875,0.1875,0.375
25,934,B-bin/A-base,"(0,.25]",68,3495,unexposed,0.4375,1749.4375,89.0,0.0,0.0,0.0625
25,934,A-bin/B-base,"(.5,.75]",69,3105,unexposed,0.5625,1369.5625,67.0,0.25,0.3125,0.1875
25,934,B-bin/A-base,"(.5,.75]",69,3105,unexposed,0.625,1351.75,67.0,0.1875,0.25,0.125
25,934,A-bin/B-base,"(.5,.75]",70,2025,unexposed,0.9375,821.875,67.0,0.0625,0.0625,0.0
25,934,B-bin/A-base,"(.75,1)",70,2025,unexposed,0.75,1077.5,67.0,0.25,0.1875,0.125
25,934,A-bin/B-base,"(.5,.75]",71,736,exposed,0.75,858.5,100.0,0.0625,0.0625,0.0
25,934,B-bin/A-base,"(.5,.75]",71,736,exposed,0.75,899.9375,100.0,0.0625,0.125,-0.0625
25,934,A-bin/B-base,"(0,.25]",72,199,exposed,0.25,1594.4375,117.0,0.4375,0.3125,0.375
25,934,B-bin/A-base,"(0,.25]",72,199,exposed,0.25,1688.6875,117.0,0.4375,0.375,0.4375
25,934,A-bin/B-base,"(.25,.5]",73,568,exposed,0.8125,1218.875,102.0,-0.0625,0.1875,-0.25
25,934,B-bin/A-base,"(.75,1)",73,568,exposed,0.5,1351.4375,102.0,0.25,0.375,0.0
25,934,A-bin/B-base,"(.25,.5]",74,994,unexposed,0.6875,1433.5,89.0,0.0,0.0,-0.0625
25,934,B-bin/A-base,"(.5,.75]",74,994,unexposed,0.4375,1423.6875,89.0,0.25,0.1875,0.25
25,934,A-bin/B-base,"(.25,.5]",75,819,exposed,0.3125,1765.875,88.0,0.625,0.625,0.3125
25,934,B-bin/A-base,"(.25,.5]",75,819,exposed,0.5,1507.5,88.0,0.4375,0.375,0.0
25,934,A-bin/B-base,"(0,.25]",76,2871,unexposed,0.0625,1876.0625,67.0,0.125,0.25,-0.125
25,934,B-bin/A-base,"(0,.25]",76,2871,unexposed,0.0625,1902.375,67.0,0.125,0.25,-0.125
25,934,A-bin/B-base,"(0,.25]",77,1542,unexposed,0.5,1306.5,81.0,0.25,0.1875,0.125
25,934,B-bin/A-base,"(.25,.5]",77,1542,unexposed,0.1875,1744.625,81.0,0.5625,0.4375,0.375
25,934,A-bin/B-base,"(0,.25]",78,2244,unexposed,0.125,1331.9375,92.0,0.1875,0.1875,0.125
25,934,B-bin/A-base,"(0,.25]",78,2244,unexposed,0.1875,1515.4375,92.0,0.125,0.25,0.0625
25,934,A-bin/B-base,"(.75,1)",79,2577,unexposed,0.75,1011.0625,61.0,0.25,0.1875,0.0625
25,934,B-bin/A-base,"(.5,.75]",79,2577,unexposed,0.9375,671.5,61.0,0.0625,0.0625,0.0625
25,934,A-bin/B-base,"(0,.25]",80,251,exposed,0.1875,1815.3125,91.0,0.1875,0.5625,-0.0625
25,934,B-bin/A-base,"(0,.25]",80,251,exposed,0.0625,1800.6875,91.0,0.3125,0.5,0.0625
25,934,A-bin/B-base,"(0,.25]",81,2717,unexposed,0.0625,1754.125,131.0,0.3125,0.25,0.375
25,934,B-bin/A-base,"(0,.25]",81,2717,unexposed,0.25,1773.9375,131.0,0.125,0.375,0.0625
25,934,A-bin/B-base,"(.25,.5]",82,123,exposed,0.375,1516.8125,77.0,0.0625,0.3125,0.0
25,934,B-bin/A-base,"(.25,.5]",82,123,exposed,0.375,1556.3125,77.0,0.0625,0.1875,0.125
25,934,A-bin/B-base,"(.25,.5]",83,3463,unexposed,0.375,1629.75,95.0,0.25,0.1875,0.0625
25,934,B-bin/A-base,"(.25,.5]",83,3463,unexposed,0.375,1643.6875,95.0,0.25,0.1875,-0.0625
25,934,A-bin/B-base,"(.25,.5]",84,2997,unexposed,0.125,1834.625,90.0,0.4375,0.375,0.375
25,934,B-bin/A-base,"(0,.25]",84,2997,unexposed,0.3125,1757.375,90.0,0.25,0.375,0.1875
25,934,A-bin/B-base,"(.25,.5]",85,390,exposed,0.4375,1584.875,95.0,0.0625,0.125,0.0
25,934,B-bin/A-base,"(.25,.5]",85,390,exposed,0.3125,1810.6875,95.0,0.1875,0.3125,0.125
25,934,A-bin/B-base,"(.25,.5]",86,367,exposed,0.625,1425.25,73.0,0.25,0.3125,0.125
25,934,B-bin/A-base,"(.5,.75]",86,367,exposed,0.5,1348.125,73.0,0.375,0.3125,0.125
25,934,A-bin/B-base,"(0,.25]",87,2892,unexposed,0.25,1394.1875,83.0,0.1875,0.0,0.25
25,934,B-bin/A-base,"(0,.25]",87,2892,unexposed,0.25,1666.25,83.0,0.1875,0.1875,-0.0625
25,934,A-bin/B-base,"(.25,.5]",88,2531,unexposed,0.5,1156.75,66.0,-0.1875,0.1875,-0.1875
25,934,B-bin/A-base,"(.25,.5]",88,2531,unexposed,0.4375,1386.1875,66.0,-0.125,0.3125,-0.1875
25,934,A-bin/B-base,"(0,.25]",89,1105,unexposed,0.1875,1820.0,92.0,0.125,0.3125,0.0
25,934,B-bin/A-base,"(0,.25]",89,1105,unexposed,0.125,1921.0,92.0,0.1875,0.5,0.0
25,934,A-bin/B-base,"(0,.25]",90,847,exposed,0.0625,1830.625,82.0,0.1875,0.3125,0.0625
25,934,B-bin/A-base,"(0,.25]",90,847,exposed,0.0625,1744.5,82.0,0.1875,0.25,0.125
25,934,A-bin/B-base,"(0,.25]",91,3041,unexposed,0.125,1928.5625,108.0,0.3125,0.5625,0.3125
25,934,B-bin/A-base,"(0,.25]",91,3041,unexposed,0.125,1938.6875,108.0,0.3125,0.5625,0.0
25,934,A-bin/B-base,"(0,.25]",92,3214,unexposed,0.3125,1770.1875,101.0,-0.125,0.125,-0.1875
