snapshot_pct,bin,grpo_signal,maxrl_signal,maxrl_over_grpo_signal,maxrl_minus_grpo_signal,grpo_is_proxy,maxrl_is_proxy,maxrl_over_grpo_is_proxy,grpo_actual_is_ess_fraction,maxrl_actual_is_ess_fraction,grpo_delta_R,maxrl_delta_R,maxrl_minus_grpo_delta_R,grpo_delta_T,maxrl_delta_T,maxrl_minus_grpo_delta_T,grpo_delta_C,maxrl_delta_C,maxrl_minus_grpo_delta_C
45,"(0,.25]",6.087467840511322,11.789521858777519,1.9366873333309056,5.702054018266197,8892.88849435145,16822.725444888965,1.891705429071146,0.9979772913048095,0.9979823147193447,0.17325908021949307,0.16851074601515548,-0.004748334204337595,0.3614000849229161,0.3171258492291612,-0.04427423569375488,0.09893928011497256,0.10093578521034753,0.0019965050953749675
45,0,3.122659350758347,8.167895175754584,2.6156856250653746,5.045235824996237,4691.229136367292,12147.287685274156,2.5893614087417074,0.9979637232930763,0.9979686503086875,0.06467547092547093,0.04381654381654382,-0.020858927108927117,0.2900798525798526,0.24621212121212122,-0.043867731367731366,0.021268427518427516,0.0030456592956592957,-0.01822276822276822
50,"(.25,.5]",7.639481085928342,8.162652426995525,1.068482575607242,0.523171341067183,9887.344303727448,11184.283707829522,1.1311716639232576,0.9980706494700586,0.9980662394150008,0.20860280999107939,0.1956679304192685,-0.012934879571810887,0.3061626523936961,0.2839447665774606,-0.022217885816235516,0.07103033006244425,0.06189600059470711,-0.009134329467737137
50,"(.5,.75]",6.327474603485074,3.8727273102450583,0.6120494435666357,-2.4547472932400156,7677.328467971308,4870.28306339642,0.6343721105218475,0.9980488060152808,0.9980678273478645,0.2166903409090909,0.19645900974025976,-0.020231331168831135,0.26001420454545454,0.23864650974025975,-0.021367694805194792,0.046154626623376625,0.03494318181818182,-0.011211444805194808
50,"(.75,1)",6.555438463782009,3.2289474136049026,0.49256009822141417,-3.3264910501771063,7664.188163722458,4144.542086228463,0.5407672668902064,0.9981215919173491,0.9980312923608269,0.10583881578947368,0.11398026315789474,0.008141447368421054,0.1408717105263158,0.1359375,-0.004934210526315819,-0.003289473684210526,0.020970394736842105,0.02425986842105263
50,"(0,.25]",6.880106033152346,13.07224986322374,1.9000070348093547,6.1921438300713945,9804.296643601658,18241.61919421789,1.8605739766271228,0.9979746798942846,0.9979693536567634,0.18866360726417558,0.1614147831199373,-0.027248824144238293,0.36082032270708125,0.34065521296054346,-0.02016510974653779,0.10647210608831983,0.08813610530441598,-0.01833600078390385
50,0,3.5551127461223793,9.334152342011752,2.625557333503042,5.7790395958893725,5318.502379142563,13777.628602050256,2.590509060611054,0.9979577814893161,0.9979585092381045,0.06109234234234234,0.06267915642915643,0.0015868140868140895,0.2480036855036855,0.2609797297297297,0.012976044226044203,0.03296478296478297,0.03887694512694513,0.005912162162162164
55,"(.25,.5]",8.294713963451235,8.802259923668133,1.0611890852961638,0.5075459602168984,10809.910220975573,12049.522840567337,1.1146737201560117,0.9980630334931526,0.99806481489752,0.20735764198632173,0.20206103181683022,-0.005296610169491511,0.2971862920011894,0.27647375854891465,-0.02071253345227475,0.07687518584597086,0.08010890573892357,0.003233719892952708
55,"(.5,.75]",6.924715448707923,4.197727315824528,0.6061949183208356,-2.7269881328833954,8304.46540545963,5175.833021001889,0.623259026113725,0.9980519683928669,0.9980663481639778,0.19928977272727272,0.18515625,-0.014133522727272724,0.2605215097402597,0.23527800324675324,-0.025243506493506485,0.03720576298701299,0.026410308441558443,-0.010795454545454546
55,"(.75,1)",6.873606566692654,3.2815789939247466,0.47741734445876655,-3.5920275727679076,7933.541428777235,4182.817935213903,0.527232128648326,0.9981284786390613,0.9980401007724081,0.12171052631578946,0.12820723684210528,0.006496710526315813,0.1615953947368421,0.13577302631578947,-0.02582236842105262,0.009539473684210526,0.033799342105263155,0.024259868421052627
55,"(0,.25]",6.966439879260644,13.184609412446108,1.8925892767261496,6.218169533185463,9911.695991179875,18383.297516278646,1.8547075629274141,0.9979731639353597,0.9979696652830561,0.16806163443950875,0.16891086360073165,0.000849229161222903,0.35666399921609615,0.32210282205382806,-0.034561177162268086,0.08373889469558402,0.09675904755683304,0.013020152861249024
55,0,3.762780646220716,9.604422609060148,2.5524800704783828,5.841641962839432,5576.841350344217,14118.422403763969,2.531616289011439,0.9979547994208993,0.997959277665329,0.07386363636363635,0.06152743652743653,-0.012336199836199824,0.32263513513513514,0.2705773955773956,-0.05205773955773957,0.0411036036036036,0.03455159705159705,-0.006552006552006551
60,"(.25,.5]",9.102392055696846,9.423728853214888,1.0353024562721322,0.32133679751804145,11776.806186359358,12794.16302479719,1.086386480539707,0.998058706205136,0.9980711955822323,0.20812890276538804,0.1882155069878085,-0.01991339577757953,0.30406259292298543,0.2917502973535534,-0.01231229556943203,0.0722754980672019,0.06036277133511746,-0.011912726732084447
