direction,bin,dataset_index,exposure_step,baseline_p0,baseline_p0_completion_length,prompt_token_count
A-bin/B-base,"(.25,.5]",119,1625,0.25,1812.75,72
B-bin/A-base,"(0,.25]",119,1625,0.375,1805.5625,72
A-bin/B-base,"(.25,.5]",120,427,0.25,1649.1875,97
B-bin/A-base,"(0,.25]",120,427,0.375,1407.3125,97
A-bin/B-base,0,121,3324,0.0625,1994.5625,98
B-bin/A-base,"(0,.25]",121,3324,0.0,1941.5,98
A-bin/B-base,"(0,.25]",122,1758,0.125,1872.1875,108
B-bin/A-base,"(0,.25]",122,1758,0.0625,1887.6875,108
A-bin/B-base,"(0,.25]",123,1131,0.125,1805.5625,100
B-bin/A-base,"(0,.25]",123,1131,0.1875,1950.5,100
A-bin/B-base,"(.25,.5]",124,256,0.4375,1638.8125,96
B-bin/A-base,"(.25,.5]",124,256,0.3125,1603.875,96
A-bin/B-base,"(.5,.75]",125,404,0.8125,1134.4375,66
B-bin/A-base,"(.75,1)",125,404,0.5625,1457.5,66
A-bin/B-base,"(.75,1)",126,553,0.75,1332.125,62
B-bin/A-base,"(.5,.75]",126,553,0.8125,1196.625,62
A-bin/B-base,"(.5,.75]",127,2792,0.5,1561.0,107
B-bin/A-base,"(.25,.5]",127,2792,0.5625,1617.5625,107
A-bin/B-base,"(0,.25]",128,3467,0.1875,1837.0,108
B-bin/A-base,"(0,.25]",128,3467,0.125,1827.375,108
A-bin/B-base,0,129,2670,0.0625,1892.5625,76
B-bin/A-base,"(0,.25]",129,2670,0.0,2038.375,76
A-bin/B-base,"(.75,1)",130,2949,0.8125,1001.5625,100
B-bin/A-base,"(.75,1)",130,2949,0.9375,795.6875,100
A-bin/B-base,"(0,.25]",131,567,0.1875,1965.9375,134
B-bin/A-base,"(0,.25]",131,567,0.125,1903.125,134
A-bin/B-base,"(.5,.75]",132,2756,0.4375,1413.5,67
B-bin/A-base,"(.25,.5]",132,2756,0.75,1213.0,67
A-bin/B-base,"(.25,.5]",133,3420,0.375,1758.6875,86
B-bin/A-base,"(.25,.5]",133,3420,0.4375,1500.875,86
A-bin/B-base,"(0,.25]",134,1395,0.0,1623.375,96
B-bin/A-base,0,134,1395,0.0625,1590.4375,96
A-bin/B-base,"(.5,.75]",135,1720,0.75,1226.875,75
B-bin/A-base,"(.5,.75]",135,1720,0.6875,1189.625,75
A-bin/B-base,"(0,.25]",136,3349,0.125,1894.6875,95
B-bin/A-base,"(0,.25]",136,3349,0.25,1808.5,95
A-bin/B-base,"(.5,.75]",137,2702,0.3125,1774.0,95
B-bin/A-base,"(.25,.5]",137,2702,0.5625,1373.4375,95
A-bin/B-base,"(0,.25]",138,69,0.0625,2040.0,85
B-bin/A-base,"(0,.25]",138,69,0.1875,1819.25,85
A-bin/B-base,0,139,717,0.125,1923.9375,118
B-bin/A-base,"(0,.25]",139,717,0.0,2048.0,118
A-bin/B-base,"(.25,.5]",140,3548,0.25,1818.5,98
B-bin/A-base,"(0,.25]",140,3548,0.3125,1824.5625,98
A-bin/B-base,"(0,.25]",141,2344,0.3125,1295.6875,73
B-bin/A-base,"(.25,.5]",141,2344,0.1875,1803.5,73
A-bin/B-base,0,142,2983,0.0625,1951.25,96
B-bin/A-base,"(0,.25]",142,2983,0.0,1982.75,96
A-bin/B-base,"(.25,.5]",143,1988,0.4375,1596.25,89
B-bin/A-base,"(.25,.5]",143,1988,0.3125,1628.6875,89
A-bin/B-base,"(0,.25]",144,2233,0.1875,1844.875,130
B-bin/A-base,"(0,.25]",144,2233,0.25,1823.5,130
A-bin/B-base,"(.5,.75]",145,341,0.375,1507.3125,77
B-bin/A-base,"(.25,.5]",145,341,0.6875,1390.75,77
A-bin/B-base,"(0,.25]",146,2855,0.0625,1781.75,93
B-bin/A-base,"(0,.25]",146,2855,0.25,1853.3125,93
A-bin/B-base,"(.75,1)",147,3479,0.6875,1145.5,76
B-bin/A-base,"(.5,.75]",147,3479,0.8125,1146.3125,76
A-bin/B-base,"(.5,.75]",148,1844,0.1875,1751.75,70
B-bin/A-base,"(0,.25]",148,1844,0.5625,1222.4375,70
